cWed Feb  5 09:51:21 2020 [pid 2] CONNECT: Client "192.168.81.235"
Wed Feb  5 10:21:54 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to ASCII mode."
Wed Feb  5 10:21:54 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,151,177"
Wed Feb  5 10:21:54 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:21:54 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:21:54 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:21:54 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:23:42 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,192,95"
Wed Feb  5 10:23:42 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:23:42 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:23:42 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:23:42 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:23:50 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "CWD .."
Wed Feb  5 10:23:50 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "250 Directory successfully changed."
Wed Feb  5 10:24:00 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,137,217"
Wed Feb  5 10:24:00 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:24:00 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:24:00 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:24:00 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:24:08 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PWD"
Wed Feb  5 10:24:08 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "257 "/home" is the current directory"
Wed Feb  5 10:24:29 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "CWD ~/workspace/ftp_server"
Wed Feb  5 10:24:29 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "250 Directory successfully changed."
Wed Feb  5 10:24:31 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,134,17"
Wed Feb  5 10:24:31 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:24:31 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "LIST"
Wed Feb  5 10:24:31 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Here comes the directory listing."
Wed Feb  5 10:24:31 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "226 Directory send OK."
Wed Feb  5 10:24:53 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE I"
Wed Feb  5 10:24:53 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to Binary mode."
Wed Feb  5 10:25:02 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "QUIT"
Wed Feb  5 10:25:02 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "221 Goodbye."
Wed Feb  5 10:28:15 2020 [pid 2] CONNECT: Client "192.168.8.240"
Wed Feb  5 10:28:15 2020 [pid 2] FTP response: Client "192.168.8.240", "220 (vsFTPd 3.0.3)"
Wed Feb  5 10:28:23 2020 [pid 2] FTP command: Client "192.168.8.240", "USER crio-user"
Wed Feb  5 10:28:23 2020 [pid 2] [crio-user] FTP response: Client "192.168.8.240", "331 Please specify the password."
Wed Feb  5 10:28:29 2020 [pid 2] [crio-user] FTP command: Client "192.168.8.240", "PASS <password>"
Wed Feb  5 10:28:29 2020 [pid 1] [crio-user] OK LOGIN: Client "192.168.8.240"
Wed Feb  5 10:28:29 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "230 Login successful."
Wed Feb  5 10:28:29 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "SYST"
Wed Feb  5 10:28:29 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "215 UNIX Type: L8"
Wed Feb  5 10:28:37 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "TYPE I"
Wed Feb  5 10:28:37 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 Switching to Binary mode."
Wed Feb  5 10:28:51 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "CWD ~/workspace/ftp_server"
Wed Feb  5 10:28:51 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "250 Directory successfully changed."
Wed Feb  5 10:29:15 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "PORT 192,168,8,240,161,29"
Wed Feb  5 10:29:15 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "200 PORT command successful. Consider using PASV."
Wed Feb  5 10:29:15 2020 [pid 3] [crio-user] FTP command: Client "192.168.8.240", "RETR download.txt"
Wed Feb  5 10:29:15 2020 [pid 3] [crio-user] FTP response: Client "192.168.8.240", "150 Opening BINARY mode data connection for download.txt (40 bytes)."
Wed Feb  5 10:29:15 2020 [pid 3] [crio-user] OK DOWNLOAD: Client "192.168.8.240", "/home/crio-user/workspace/ftp_server/download.txt", 40 bytes, 1.09Kbyte/sec
