cWed Feb  5 09:51:21 2020 [pid 2] CONNECT: Client "192.168.81.235"
Fri Feb  7 14:25:05 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:25:05 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:25:05 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:25:05 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:25:05 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:25:05 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:25:55 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:25:55 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:25:55 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:25:55 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:25:55 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:25:55 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:26:24 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:26:24 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:26:24 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:26:24 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:26:24 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:26:24 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:27:18 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:27:18 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:27:18 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:27:19 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:27:19 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:27:19 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:27:46 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:27:46 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:27:46 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:27:46 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:27:46 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:27:46 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:28:09 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:28:09 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:28:09 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:28:09 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:28:09 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:28:09 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:33:09 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "421 Timeout."
Fri Feb  7 14:42:11 2020 [pid 2] CONNECT: Client "13.127.176.218"
Fri Feb  7 14:42:11 2020 [pid 2] FTP response: Client "13.127.176.218", "220 (vsFTPd 3.0.3)"
Fri Feb  7 14:42:15 2020 [pid 2] FTP command: Client "13.127.176.218", "USER crio-user"
Fri Feb  7 14:42:15 2020 [pid 2] [crio-user] FTP response: Client "13.127.176.218", "331 Please specify the password."
Fri Feb  7 14:42:20 2020 [pid 2] [crio-user] FTP command: Client "13.127.176.218", "PASS <password>"
Fri Feb  7 14:42:20 2020 [pid 1] [crio-user] OK LOGIN: Client "13.127.176.218"
Fri Feb  7 14:42:20 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "230 Login successful."
Fri Feb  7 14:42:20 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "SYST"
Fri Feb  7 14:42:20 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "215 UNIX Type: L8"
Fri Feb  7 14:42:49 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:42:49 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:42:49 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:42:49 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:42:49 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:44:34 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:44:34 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:44:34 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:44:34 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:44:34 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:44:45 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "CWD ftp_server"
Fri Feb  7 14:44:45 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "250 Directory successfully changed."
Fri Feb  7 14:44:46 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:44:46 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:44:46 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:44:46 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:44:46 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:44:53 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PWD"
Fri Feb  7 14:44:53 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "257 "/home/crio-user/ftp_server" is the current directory"
Fri Feb  7 14:45:30 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "TYPE I"
Fri Feb  7 14:45:30 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "200 Switching to Binary mode."
Fri Feb  7 14:45:30 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:45:30 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:45:30 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:45:30 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:45:30 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:45:30 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:47:52 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:47:52 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:47:52 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:47:52 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:47:52 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:47:52 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:47:54 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:47:54 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:47:54 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:47:54 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:47:54 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:47:54 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:47:55 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:47:55 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:47:55 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:47:55 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:47:55 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:47:55 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:47:56 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:47:57 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:47:57 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:48:00 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:48:00 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:48:01 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:48:38 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:48:38 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:48:38 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_client/client_transfer.txt"
Fri Feb  7 14:48:38 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:48:38 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_client/client_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:48:38 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:49:31 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PWD"
Fri Feb  7 14:49:31 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "257 "/home/crio-user/ftp_server" is the current directory"
Fri Feb  7 14:49:33 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "CWD .."
Fri Feb  7 14:49:33 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "250 Directory successfully changed."
Fri Feb  7 14:49:36 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "CWD ftp_client/"
Fri Feb  7 14:49:36 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "250 Directory successfully changed."
Fri Feb  7 14:49:37 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "TYPE A"
Fri Feb  7 14:49:37 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "200 Switching to ASCII mode."
Fri Feb  7 14:49:37 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:49:37 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:49:37 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:49:37 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:49:37 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:49:38 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PWD"
Fri Feb  7 14:49:38 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "257 "/home/crio-user/ftp_client" is the current directory"
Fri Feb  7 14:50:12 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "TYPE I"
Fri Feb  7 14:50:12 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "200 Switching to Binary mode."
Fri Feb  7 14:50:12 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:50:12 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:50:13 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_server/server_transfer.txt"
Fri Feb  7 14:50:13 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:50:14 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_server/server_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:50:14 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:50:29 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:50:29 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:50:29 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_server/server_transfer.txt"
Fri Feb  7 14:50:29 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:50:29 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_server/server_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:50:29 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:50:30 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:50:30 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:50:30 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_server/server_transfer.txt"
Fri Feb  7 14:50:30 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:50:30 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_server/server_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:50:30 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:50:31 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:50:31 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:50:31 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_server/server_transfer.txt"
Fri Feb  7 14:50:31 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:50:31 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_server/server_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:50:31 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:50:32 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:50:32 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:50:32 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_server/server_transfer.txt"
Fri Feb  7 14:50:33 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:50:33 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_server/server_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:50:33 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:50:34 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:50:34 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:50:34 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_server/server_transfer.txt"
Fri Feb  7 14:50:34 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:50:34 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_server/server_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:50:34 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:50:36 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:50:36 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:50:36 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_server/server_transfer.txt"
Fri Feb  7 14:50:36 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:50:36 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_server/server_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:50:36 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:51:47 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "TYPE A"
Fri Feb  7 14:51:47 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "200 Switching to ASCII mode."
Fri Feb  7 14:51:47 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:51:47 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:51:47 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:51:47 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:51:47 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:52:00 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:52:00 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:52:00 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:52:00 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:52:00 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:52:03 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:52:03 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:52:04 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST -la"
Fri Feb  7 14:52:04 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:52:04 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:52:13 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "CWD .."
Fri Feb  7 14:52:13 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "250 Directory successfully changed."
Fri Feb  7 14:52:15 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:52:15 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:52:15 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:52:15 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:52:15 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:52:20 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "CWD ftp_server/"
Fri Feb  7 14:52:20 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "250 Directory successfully changed."
Fri Feb  7 14:52:21 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:52:21 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:52:21 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:52:21 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:52:21 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:54:57 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:54:57 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:54:57 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:54:57 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:54:57 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:55:39 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:55:39 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,147)."
Fri Feb  7 14:55:39 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "LIST"
Fri Feb  7 14:55:39 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Here comes the directory listing."
Fri Feb  7 14:55:39 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Directory send OK."
Fri Feb  7 14:55:44 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "TYPE I"
Fri Feb  7 14:55:44 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "200 Switching to Binary mode."
Fri Feb  7 14:55:44 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:55:44 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:55:44 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_server/server_transfer.txt"
Fri Feb  7 14:55:44 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:55:44 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_server/server_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:55:44 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:55:58 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "PASV"
Fri Feb  7 14:55:58 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "227 Entering Passive Mode (192,168,95,196,31,146)."
Fri Feb  7 14:55:58 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "STOR /home/crio-user/ftp_server/server_transfer.txt"
Fri Feb  7 14:55:58 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "150 Ok to send data."
Fri Feb  7 14:55:58 2020 [pid 3] [crio-user] OK UPLOAD: Client "13.127.176.218", "/home/crio-user/ftp_server/server_transfer.txt", 0.00Kbyte/sec
Fri Feb  7 14:55:58 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "226 Transfer complete."
Fri Feb  7 14:56:12 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "CWD .."
Fri Feb  7 14:56:12 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "250 Directory successfully changed."
Fri Feb  7 14:57:19 2020 [pid 3] [crio-user] FTP command: Client "13.127.176.218", "QUIT"
Fri Feb  7 14:57:19 2020 [pid 3] [crio-user] FTP response: Client "13.127.176.218", "221 Goodbye."
Fri Feb  7 14:57:20 2020 [pid 2] CONNECT: Client "13.127.176.218"
